NMR gene name,gene_ids,Human gene stable ID,Human gene name,Mouse gene stable ID,Mouse gene name
COPB2,ENSHGLG00000011244,ENSG00000184432,COPB2,ENSMUSG00000032458,Copb2
ENSHGLG00000011250,ENSHGLG00000011250,,,,
ENSHGLG00000011277,ENSHGLG00000011277,,,,
RRP9,ENSHGLG00000011297,ENSG00000114767,RRP9,ENSMUSG00000041506,Rrp9
ENSHGLG00000011323,ENSHGLG00000011323,ENSG00000114853,ZBTB47,ENSMUSG00000013419,Zbtb47
CDHR4,ENSHGLG00000011328,ENSG00000187492,CDHR4,ENSMUSG00000032595,Cdhr4
SCAP,ENSHGLG00000011335,,,,
GOLIM4,ENSHGLG00000011338,ENSG00000173905,GOLIM4,ENSMUSG00000034109,Golim4
CACNA2D2,ENSHGLG00000011344,ENSG00000007402,CACNA2D2,ENSMUSG00000010066,Cacna2d2
DNAJC13,ENSHGLG00000011353,ENSG00000138246,DNAJC13,ENSMUSG00000032560,Dnajc13
ENSHGLG00000011395,ENSHGLG00000011395,,,,
ENSHGLG00000011422,ENSHGLG00000011422,,,,
ENSHGLG00000011425,ENSHGLG00000011425,,,,
IP6K2,ENSHGLG00000011439,ENSG00000068745,IP6K2,ENSMUSG00000032599,Ip6k2
EREG,ENSHGLG00000011440,ENSG00000124882,EREG,ENSMUSG00000029377,Ereg
ENSHGLG00000011451,ENSHGLG00000011451,,,,
TMEM42,ENSHGLG00000011454,,,,
ENSHGLG00000011506,ENSHGLG00000011506,,,,
PARP3,ENSHGLG00000011511,ENSG00000041880,PARP3,ENSMUSG00000023249,Parp3
ZMAT3,ENSHGLG00000011523,ENSG00000172667,ZMAT3,ENSMUSG00000027663,Zmat3
CELSR3,ENSHGLG00000011545,ENSG00000008300,CELSR3,ENSMUSG00000023473,Celsr3
C3orf18,ENSHGLG00000011560,ENSG00000088543,C3orf18,ENSMUSG00000037977,6430571L13Rik
ENSHGLG00000011562,ENSHGLG00000011562,,,,
UBA7,ENSHGLG00000011581,,,,
ENSHGLG00000011584,ENSHGLG00000011584,,,,
SKIL,ENSHGLG00000011598,ENSG00000136603,SKIL,ENSMUSG00000027660,Skil
ENSHGLG00000011600,ENSHGLG00000011600,,,,
ENSHGLG00000011602,ENSHGLG00000011602,,,,
Apod,ENSHGLG00000011627,,,,
NKTR,ENSHGLG00000011632,,,,
AGTR1,ENSHGLG00000011649,,,,
ZBTB38,ENSHGLG00000011669,ENSG00000177311,ZBTB38,ENSMUSG00000040433,Zbtb38
PTPN23,ENSHGLG00000011720,,,,
ENSHGLG00000011736,ENSHGLG00000011736,,,,
RBP2,ENSHGLG00000011738,ENSG00000114113,RBP2,ENSMUSG00000032454,Rbp2
ENSHGLG00000011740,ENSHGLG00000011740,,,,
CDC25A,ENSHGLG00000011750,ENSG00000164045,CDC25A,ENSMUSG00000032477,Cdc25a
KIF15,ENSHGLG00000011770,ENSG00000163808,KIF15,ENSMUSG00000036768,Kif15
IQCF3,ENSHGLG00000011788,ENSG00000229972,IQCF3,,
AADACL2,ENSHGLG00000011820,,,,
SLC25A20,ENSHGLG00000011825,,,ENSMUSG00000032602,Slc25a20
RBP1,ENSHGLG00000011860,,,,
HEMK1,ENSHGLG00000011865,ENSG00000114735,HEMK1,ENSMUSG00000032579,Hemk1
ENSHGLG00000011879,ENSHGLG00000011879,,,,
CPB1,ENSHGLG00000011884,,,ENSMUSG00000011463,Cpb1
MTHFD2L,ENSHGLG00000011885,ENSG00000163738,MTHFD2L,ENSMUSG00000029376,Mthfd2l
ENSHGLG00000011888,ENSHGLG00000011888,,,,
PIK3CA,ENSHGLG00000011894,,,,
SHISA5,ENSHGLG00000011906,,,,
ENSHGLG00000011908,ENSHGLG00000011908,,,,
SPATA16,ENSHGLG00000011913,ENSG00000144962,SPATA16,ENSMUSG00000039335,Spata16
ALAS1,ENSHGLG00000011920,ENSG00000023330,ALAS1,ENSMUSG00000032786,Alas1
CLDN11,ENSHGLG00000011927,,,,
CCNL1,ENSHGLG00000011933,,,ENSMUSG00000027829,Ccnl1
INKA1,ENSHGLG00000011955,ENSG00000185614,INKA1,ENSMUSG00000042106,Inka1
SS18L2,ENSHGLG00000011957,,,,
ENSHGLG00000012004,ENSHGLG00000012004,,,,
CHRD,ENSHGLG00000012005,,,,
PCBP4,ENSHGLG00000012018,ENSG00000090097,PCBP4,ENSMUSG00000023495,Pcbp4
ENSHGLG00000012034,ENSHGLG00000012034,,,,
NMNAT3,ENSHGLG00000012035,ENSG00000163864,NMNAT3,ENSMUSG00000032456,Nmnat3
ENSHGLG00000012040,ENSHGLG00000012040,,,,
TRIM59,ENSHGLG00000012047,,,,
ENSHGLG00000012050,ENSHGLG00000012050,ENSG00000155903,RASA2,ENSMUSG00000032413,Rasa2
ENSHGLG00000012054,ENSHGLG00000012054,,,,
GNAI2,ENSHGLG00000012059,ENSG00000114353,GNAI2,ENSMUSG00000032562,Gnai2
MECOM,ENSHGLG00000012064,,,ENSMUSG00000027684,Mecom
TRAIP,ENSHGLG00000012072,,,,
SEC22C,ENSHGLG00000012085,,,,
ENSHGLG00000012099,ENSHGLG00000012099,,,,
ENSHGLG00000012106,ENSHGLG00000012106,,,,
CISH,ENSHGLG00000012108,,,,
RAD54L2,ENSHGLG00000012116,,,,
AMOTL2,ENSHGLG00000012124,ENSG00000114019,AMOTL2,ENSMUSG00000032531,Amotl2
KCNMB3,ENSHGLG00000012132,ENSG00000171121,KCNMB3,ENSMUSG00000091091,Kcnmb3
ENSHGLG00000012133,ENSHGLG00000012133,,,,
CPA3,ENSHGLG00000012134,,,ENSMUSG00000001865,Cpa3
KIAA1143,ENSHGLG00000012135,ENSG00000163807,KIAA1143,ENSMUSG00000032551,1110059G10Rik
ARIH2,ENSHGLG00000012140,,,ENSMUSG00000064145,Arih2
ABHD14B,ENSHGLG00000012174,ENSG00000114779,ABHD14B,ENSMUSG00000042073,Abhd14b
VEPH1,ENSHGLG00000012178,,,ENSMUSG00000027831,Veph1
AADAC,ENSHGLG00000012179,,,,
ENSHGLG00000012190,ENSHGLG00000012190,,,,
ENSHGLG00000012199,ENSHGLG00000012199,,,,
ENSHGLG00000012202,ENSHGLG00000012202,,,,
ENSHGLG00000012203,ENSHGLG00000012203,,,,
ATRIP,ENSHGLG00000012219,ENSG00000164053,ATRIP,ENSMUSG00000025646,Atrip
SLC7A14,ENSHGLG00000012232,ENSG00000013293,SLC7A14,ENSMUSG00000069072,Slc7a14
KLHDC8B,ENSHGLG00000012255,ENSG00000185909,KLHDC8B,ENSMUSG00000032609,Klhdc8b
ACAP2,ENSHGLG00000012258,ENSG00000114331,ACAP2,ENSMUSG00000049076,Acap2
CAMKV,ENSHGLG00000012266,ENSG00000164076,CAMKV,ENSMUSG00000032936,Camkv
VIPR1,ENSHGLG00000012277,ENSG00000114812,VIPR1,ENSMUSG00000032528,Vipr1
KLHL18,ENSHGLG00000012278,,,,
THPO,ENSHGLG00000012287,,,,
ZNF639,ENSHGLG00000012290,,,,
MAPKAPK3,ENSHGLG00000012299,ENSG00000114738,MAPKAPK3,ENSMUSG00000032577,Mapkapk3
ZNF502,ENSHGLG00000012301,,,,
ENSHGLG00000012306,ENSHGLG00000012306,,,,
GYG1,ENSHGLG00000012311,,,ENSMUSG00000019528,Gyg1
ENSHGLG00000012324,ENSHGLG00000012324,,,,
ENSHGLG00000012333,ENSHGLG00000012333,,,,
ABHD14A,ENSHGLG00000012344,ENSG00000248487,ABHD14A,ENSMUSG00000042210,Abhd14a
ENSHGLG00000012345,ENSHGLG00000012345,,,,
ENSHGLG00000012347,ENSHGLG00000012347,,,,
P4HTM,ENSHGLG00000012350,ENSG00000178467,P4HTM,ENSMUSG00000006675,P4htm
KPNA4,ENSHGLG00000012364,ENSG00000186432,KPNA4,ENSMUSG00000027782,Kpna4
CXCL6,ENSHGLG00000012365,,,,
ENSHGLG00000012379,ENSHGLG00000012379,,,,
ACAD11,ENSHGLG00000012399,ENSG00000240303,ACAD11,ENSMUSG00000090150,Acad11
ZNF35,ENSHGLG00000012401,,,,
ENSHGLG00000012408,ENSHGLG00000012408,,,,
C3orf84,ENSHGLG00000012409,,,,
LYZL4,ENSHGLG00000012412,,,,
SUCNR1,ENSHGLG00000012430,ENSG00000198829,SUCNR1,ENSMUSG00000027762,Sucnr1
TREX1,ENSHGLG00000012431,ENSG00000213689,TREX1,ENSMUSG00000049734,Trex1
PTX3,ENSHGLG00000012461,ENSG00000163661,PTX3,ENSMUSG00000027832,Ptx3
CLSTN2,ENSHGLG00000012472,ENSG00000158258,CLSTN2,ENSMUSG00000032452,Clstn2
RNF7,ENSHGLG00000012477,,,,
IL8,ENSHGLG00000012479,,,,
WDR6,ENSHGLG00000012487,,,,
POLR2H,ENSHGLG00000012488,,,,
TEX264,ENSHGLG00000012490,ENSG00000164081,TEX264,ENSMUSG00000040813,Tex264
ACY1,ENSHGLG00000012497,ENSG00000243989,ACY1,ENSMUSG00000023262,Acy1
ENSHGLG00000012501,ENSHGLG00000012501,,,,
HLTF,ENSHGLG00000012503,ENSG00000071794,HLTF,ENSMUSG00000002428,Hltf
RPL22L1,ENSHGLG00000012505,,,,
SEMA3B,ENSHGLG00000012514,ENSG00000012171,SEMA3B,ENSMUSG00000057969,Sema3b
MFN1,ENSHGLG00000012515,ENSG00000171109,MFN1,ENSMUSG00000027668,Mfn1
KIF9,ENSHGLG00000012534,ENSG00000088727,KIF9,ENSMUSG00000032489,Kif9
ENSHGLG00000012542,ENSHGLG00000012542,ENSG00000239732,TLR9,ENSMUSG00000045322,Tlr9
ENSHGLG00000012572,ENSHGLG00000012572,,,,
MST1R,ENSHGLG00000012578,ENSG00000164078,MST1R,ENSMUSG00000032584,Mst1r
CCK,ENSHGLG00000012582,,,,
ENSHGLG00000012614,ENSHGLG00000012614,,,,
XXYLT1,ENSHGLG00000012615,ENSG00000173950,XXYLT1,ENSMUSG00000047434,Xxylt1
GRK7,ENSHGLG00000012629,ENSG00000114124,GRK7,,
Pfkfb4,ENSHGLG00000012637,ENSG00000114268,PFKFB4,ENSMUSG00000025648,Pfkfb4
DHX30,ENSHGLG00000012643,ENSG00000132153,DHX30,ENSMUSG00000032480,Dhx30
ENSHGLG00000012644,ENSHGLG00000012644,,,,
ENSHGLG00000012647,ENSHGLG00000012647,,,ENSMUSG00000050192,Eif5a2
ENSHGLG00000012651,ENSHGLG00000012651,,,,
G3BP2,ENSHGLG00000012655,,,,
PPM1M,ENSHGLG00000012659,ENSG00000164088,PPM1M,ENSMUSG00000020253,Ppm1m
IFRD2,ENSHGLG00000012660,ENSG00000214706,IFRD2,ENSMUSG00000010048,Ifrd2
DOCK3,ENSHGLG00000012669,ENSG00000088538,DOCK3,ENSMUSG00000039716,Dock3
DALRD3,ENSHGLG00000012675,,,,
ENSHGLG00000012678,ENSHGLG00000012678,,,,
ACKR4,ENSHGLG00000012687,ENSG00000129048,ACKR4,ENSMUSG00000079355,Ackr4
GRM2,ENSHGLG00000012688,ENSG00000164082,GRM2,ENSMUSG00000023192,Grm2
ENSHGLG00000012718,ENSHGLG00000012718,,,,
ANAPC13,ENSHGLG00000012724,,,,
ENSHGLG00000012734,ENSHGLG00000012734,,,,
IHO1,ENSHGLG00000012746,,,,
MON1A,ENSHGLG00000012749,ENSG00000164077,MON1A,ENSMUSG00000032583,Mon1a
ATP1B3,ENSHGLG00000012755,,,,
CLCN2,ENSHGLG00000012758,ENSG00000114859,CLCN2,ENSMUSG00000022843,Clcn2
ENSHGLG00000012762,ENSHGLG00000012762,,,,
HYAL3,ENSHGLG00000012772,,,,
ENSHGLG00000012784,ENSHGLG00000012784,,,,
ENSHGLG00000012787,ENSHGLG00000012787,,,,
ACTRT3,ENSHGLG00000012802,,,ENSMUSG00000037737,Actrt3
TCTEX1D2,ENSHGLG00000012816,,,,
DUSP7,ENSHGLG00000012823,ENSG00000164086,DUSP7,ENSMUSG00000053716,Dusp7
NDUFAF3,ENSHGLG00000012830,,,,
ENSHGLG00000012837,ENSHGLG00000012837,,,,
SLC2A2,ENSHGLG00000012845,,,,
SHOX2,ENSHGLG00000012846,ENSG00000168779,SHOX2,ENSMUSG00000027833,Shox2
GNB4,ENSHGLG00000012880,ENSG00000114450,GNB4,,
SETD2,ENSHGLG00000012883,,,,
TRAK1,ENSHGLG00000012903,ENSG00000182606,TRAK1,ENSMUSG00000032536,Trak1
MBNL1,ENSHGLG00000012911,ENSG00000152601,MBNL1,ENSMUSG00000027763,Mbnl1
CEP63,ENSHGLG00000012934,ENSG00000182923,CEP63,ENSMUSG00000032534,Cep63
ENSHGLG00000012940,ENSHGLG00000012940,,,,
ENSHGLG00000012945,ENSHGLG00000012945,,,,
ENSHGLG00000012948,ENSHGLG00000012948,,,,
IQCF6,ENSHGLG00000012953,ENSG00000214686,IQCF6,ENSMUSG00000091129,Iqcf6
ENSHGLG00000012955,ENSHGLG00000012955,,,,
P2RY1,ENSHGLG00000012962,ENSG00000169860,P2RY1,ENSMUSG00000027765,P2ry1
ENSHGLG00000012965,ENSHGLG00000012965,,,ENSMUSG00000032491,Nradd
C3orf62,ENSHGLG00000012967,,,,
GLYCTK,ENSHGLG00000012968,,,,
MYNN,ENSHGLG00000012975,ENSG00000085274,MYNN,ENSMUSG00000037730,Mynn
HPS3,ENSHGLG00000012977,,,ENSMUSG00000027615,Hps3
EXOSC7,ENSHGLG00000012984,ENSG00000075914,EXOSC7,ENSMUSG00000025785,Exosc7
TM4SF19,ENSHGLG00000013007,ENSG00000145107,TM4SF19,ENSMUSG00000079625,Tm4sf19
ENSHGLG00000013013,ENSHGLG00000013013,,,,
ENSHGLG00000013044,ENSHGLG00000013044,,,,
KY,ENSHGLG00000013046,ENSG00000174611,KY,ENSMUSG00000035606,Ky
FAM131A,ENSHGLG00000013050,ENSG00000175182,FAM131A,ENSMUSG00000050821,Fam131a
ENSHGLG00000013109,ENSHGLG00000013109,,,,
PLSCR4,ENSHGLG00000013153,ENSG00000114698,PLSCR4,ENSMUSG00000032377,Plscr4
HYAL1,ENSHGLG00000013173,,,,
ENSHGLG00000013189,ENSHGLG00000013189,,,ENSMUSG00000032582,Rbm6
ULK4,ENSHGLG00000013251,,,ENSMUSG00000040936,Ulk4
CDKL2,ENSHGLG00000013277,ENSG00000138769,CDKL2,ENSMUSG00000029403,Cdkl2
ENSHGLG00000013283,ENSHGLG00000013283,,,,
ENSHGLG00000013289,ENSHGLG00000013289,,,,
SMARCC1,ENSHGLG00000013300,ENSG00000173473,SMARCC1,ENSMUSG00000032481,Smarcc1
TNIK,ENSHGLG00000013310,ENSG00000154310,TNIK,ENSMUSG00000027692,Tnik
TRIM42,ENSHGLG00000013325,ENSG00000155890,TRIM42,ENSMUSG00000032451,Trim42
UBXN7,ENSHGLG00000013332,ENSG00000163960,UBXN7,ENSMUSG00000053774,Ubxn7
ACTL6A,ENSHGLG00000013350,ENSG00000136518,ACTL6A,ENSMUSG00000027671,Actl6a
COL6A6,ENSHGLG00000013352,,,ENSMUSG00000043719,Col6a6
ENSHGLG00000013362,ENSHGLG00000013362,,,,
IMPDH2,ENSHGLG00000013375,ENSG00000178035,IMPDH2,ENSMUSG00000062867,Impdh2
ENSHGLG00000013386,ENSHGLG00000013386,,,,
UBA5,ENSHGLG00000013398,,,ENSMUSG00000032557,Uba5
HYAL2,ENSHGLG00000013405,ENSG00000068001,HYAL2,ENSMUSG00000010047,Hyal2
ENSHGLG00000013420,ENSHGLG00000013420,,,,
POC1A,ENSHGLG00000013436,ENSG00000164087,POC1A,ENSMUSG00000023345,Poc1a
NLGN1,ENSHGLG00000013440,ENSG00000169760,NLGN1,ENSMUSG00000063887,Nlgn1
ENSHGLG00000013441,ENSHGLG00000013441,ENSG00000114126,TFDP2,ENSMUSG00000032411,Tfdp2
ENSHGLG00000013442,ENSHGLG00000013442,ENSG00000017260,ATP2C1,ENSMUSG00000032570,Atp2c1
PPM1L,ENSHGLG00000013450,,,ENSMUSG00000027784,Ppm1l
MASP1,ENSHGLG00000013470,ENSG00000127241,MASP1,ENSMUSG00000022887,Masp1
ENSHGLG00000013521,ENSHGLG00000013521,,,,
ENSHGLG00000013558,ENSHGLG00000013558,,,,
ENSHGLG00000013567,ENSHGLG00000013567,,,,
MANF,ENSHGLG00000013587,,,,
GPR149,ENSHGLG00000013607,ENSG00000174948,GPR149,ENSMUSG00000043441,Gpr149
ANO10,ENSHGLG00000013608,ENSG00000160746,ANO10,ENSMUSG00000037949,Ano10
ENSHGLG00000013615,ENSHGLG00000013615,,,,
EPHB1,ENSHGLG00000013616,ENSG00000154928,EPHB1,ENSMUSG00000032537,Ephb1
ENSHGLG00000013631,ENSHGLG00000013631,,,,
ODAPH,ENSHGLG00000013662,,,,
ENSHGLG00000013672,ENSHGLG00000013672,,,,
ENSHGLG00000013681,ENSHGLG00000013681,,,,
ENSHGLG00000013699,ENSHGLG00000013699,,,,
ENSHGLG00000013715,ENSHGLG00000013715,,,,
RNF168,ENSHGLG00000013719,,,,
ENSHGLG00000013739,ENSHGLG00000013739,,,,
ENSHGLG00000013761,ENSHGLG00000013761,,,,
ENSHGLG00000013770,ENSHGLG00000013770,,,,
NBEAL2,ENSHGLG00000013814,ENSG00000160796,NBEAL2,ENSMUSG00000056724,Nbeal2
SPSB4,ENSHGLG00000013816,ENSG00000175093,SPSB4,ENSMUSG00000046997,Spsb4
ENSHGLG00000013818,ENSHGLG00000013818,ENSG00000198218,QRICH1,ENSMUSG00000006673,Qrich1
NAALADL2,ENSHGLG00000013839,ENSG00000177694,NAALADL2,ENSMUSG00000102758,Naaladl2
LRRC34,ENSHGLG00000013840,ENSG00000171757,LRRC34,ENSMUSG00000027702,Lrrc34
THAP6,ENSHGLG00000013852,,,,
ENSHGLG00000013861,ENSHGLG00000013861,,,,
ENSHGLG00000013875,ENSHGLG00000013875,,,,
CLDN18,ENSHGLG00000013883,,,,
ENSHGLG00000013899,ENSHGLG00000013899,ENSG00000114867,EIF4G1,ENSMUSG00000045983,Eif4g1
RTP1,ENSHGLG00000013919,ENSG00000175077,RTP1,ENSMUSG00000033383,Rtp1
ENSHGLG00000013922,ENSHGLG00000013922,,,,
ENSHGLG00000013923,ENSHGLG00000013923,,,,
MRPL47,ENSHGLG00000013945,,,,
MME,ENSHGLG00000013970,ENSG00000196549,MME,ENSMUSG00000027820,Mme
SNRK,ENSHGLG00000013982,ENSG00000163788,SNRK,ENSMUSG00000038145,Snrk
RASSF1,ENSHGLG00000014052,ENSG00000068028,RASSF1,ENSMUSG00000010067,Rassf1
CCDC12,ENSHGLG00000014058,ENSG00000160799,CCDC12,ENSMUSG00000019659,Ccdc12
CP,ENSHGLG00000014064,ENSG00000047457,CP,ENSMUSG00000003617,Cp
QARS1,ENSHGLG00000014071,ENSG00000172053,QARS1,ENSMUSG00000032604,Qars1
VPRBP,ENSHGLG00000014072,ENSG00000145041,DCAF1,ENSMUSG00000040325,Dcaf1
ENSHGLG00000014077,ENSHGLG00000014077,,,,
SAMD7,ENSHGLG00000014079,ENSG00000187033,SAMD7,ENSMUSG00000051860,Samd7
NPHP3,ENSHGLG00000014083,,,ENSMUSG00000032558,Nphp3
ACPL2,ENSHGLG00000014087,ENSG00000155893,PXYLP1,ENSMUSG00000043587,Pxylp1
DZIP1L,ENSHGLG00000014116,ENSG00000158163,DZIP1L,ENSMUSG00000037784,Dzip1l
ENSHGLG00000014126,ENSHGLG00000014126,,,,
CYB561D2,ENSHGLG00000014135,ENSG00000114395,CYB561D2,ENSMUSG00000037190,Cyb561d2
SLC35G2,ENSHGLG00000014148,ENSG00000168917,SLC35G2,ENSMUSG00000070287,Slc35g2
IL20RB,ENSHGLG00000014167,ENSG00000174564,IL20RB,ENSMUSG00000044244,Il20rb
USO1,ENSHGLG00000014182,ENSG00000138768,USO1,ENSMUSG00000029407,Uso1
SOX14,ENSHGLG00000014184,ENSG00000168875,SOX14,ENSMUSG00000053747,Sox14
ENSHGLG00000014204,ENSHGLG00000014204,,,,
MRAS,ENSHGLG00000014208,,,,
TMA7,ENSHGLG00000014226,,,,
ESYT3,ENSHGLG00000014239,ENSG00000158220,ESYT3,ENSMUSG00000037681,Esyt3
USP4,ENSHGLG00000014262,ENSG00000114316,USP4,ENSMUSG00000032612,Usp4
ENSHGLG00000014269,ENSHGLG00000014269,,,,
Ctnnb1,ENSHGLG00000014308,,,ENSMUSG00000006932,Ctnnb1
PLD1,ENSHGLG00000014314,ENSG00000075651,PLD1,ENSMUSG00000027695,Pld1
PIK3R4,ENSHGLG00000014315,,,,
GPX1,ENSHGLG00000014333,ENSG00000233276,GPX1,ENSMUSG00000063856,Gpx1
ENSHGLG00000014334,ENSHGLG00000014334,,,,
B3GALNT1,ENSHGLG00000014349,,,,
GK5,ENSHGLG00000014374,ENSG00000175066,GK5,ENSMUSG00000041440,Gk5
NDUFB5,ENSHGLG00000014377,ENSG00000136521,NDUFB5,ENSMUSG00000027673,Ndufb5
DNAJC19,ENSHGLG00000014387,,,,
ENSHGLG00000014392,ENSHGLG00000014392,,,,
ENSHGLG00000014414,ENSHGLG00000014414,,,,
ENSHGLG00000014416,ENSHGLG00000014416,,,,
TBL1XR1,ENSHGLG00000014419,,,,
PTH1R,ENSHGLG00000014420,ENSG00000160801,PTH1R,ENSMUSG00000032492,Pth1r
ENSHGLG00000014428,ENSHGLG00000014428,,,,
USP19,ENSHGLG00000014432,ENSG00000172046,USP19,ENSMUSG00000006676,Usp19
ENSHGLG00000014451,ENSHGLG00000014451,ENSG00000169251,NMD3,ENSMUSG00000027787,Nmd3
A4GNT,ENSHGLG00000014457,ENSG00000118017,A4GNT,ENSMUSG00000037953,A4gnt
PSMD2,ENSHGLG00000014466,ENSG00000175166,PSMD2,ENSMUSG00000006998,Psmd2
USP13,ENSHGLG00000014472,ENSG00000058056,USP13,ENSMUSG00000056900,Usp13
XRN1,ENSHGLG00000014476,ENSG00000114127,XRN1,ENSMUSG00000032410,Xrn1
MYL3,ENSHGLG00000014498,ENSG00000160808,MYL3,ENSMUSG00000059741,Myl3
NICN1,ENSHGLG00000014501,ENSG00000145029,NICN1,ENSMUSG00000032606,Nicn1
DBR1,ENSHGLG00000014529,,,,
DAG1,ENSHGLG00000014544,,,,
SCHIP1,ENSHGLG00000014551,ENSG00000151967,SCHIP1,ENSMUSG00000027777,Schip1
ATP11B,ENSHGLG00000014553,,,ENSMUSG00000037400,Atp11b
BSN,ENSHGLG00000014582,ENSG00000164061,BSN,ENSMUSG00000032589,Bsn
IL12A,ENSHGLG00000014587,ENSG00000168811,IL12A,ENSMUSG00000027776,Il12a
ENSHGLG00000014589,ENSHGLG00000014589,,,,
APEH,ENSHGLG00000014615,ENSG00000164062,APEH,ENSMUSG00000032590,Apeh
ENSHGLG00000014619,ENSHGLG00000014619,,,,
MST1,ENSHGLG00000014647,ENSG00000173531,MST1,ENSMUSG00000032591,Mst1
MCCC1,ENSHGLG00000014650,,,ENSMUSG00000027709,Mccc1
SPTSSB,ENSHGLG00000014657,ENSG00000196542,SPTSSB,ENSMUSG00000043461,Sptssb
RNF123,ENSHGLG00000014673,,,,
LMLN,ENSHGLG00000014676,,,ENSMUSG00000022802,Lmln
OTOL1,ENSHGLG00000014682,,,ENSMUSG00000027788,Otol1
ENSHGLG00000014689,ENSHGLG00000014689,,,,
ENSHGLG00000014695,ENSHGLG00000014695,,,,
TMEM212,ENSHGLG00000014698,ENSG00000186329,TMEM212,ENSMUSG00000043164,Tmem212
TCTA,ENSHGLG00000014711,ENSG00000145022,TCTA,ENSMUSG00000039461,Tcta
ENSHGLG00000014716,ENSHGLG00000014716,,,,
LAMB2,ENSHGLG00000014718,ENSG00000172037,LAMB2,ENSMUSG00000052911,Lamb2
ENSHGLG00000014741,ENSHGLG00000014741,,,,
ARMC8,ENSHGLG00000014743,,,,
PHC3,ENSHGLG00000014756,ENSG00000173889,PHC3,ENSMUSG00000037652,Phc3
RPL35A,ENSHGLG00000014823,,,,
SI,ENSHGLG00000014830,,,ENSMUSG00000027790,Sis
RBM5,ENSHGLG00000014844,ENSG00000003756,RBM5,ENSMUSG00000032580,Rbm5
ECE2,ENSHGLG00000014845,ENSG00000145194,ECE2,ENSMUSG00000022842,Ece2
FNDC3B,ENSHGLG00000014877,ENSG00000075420,FNDC3B,ENSMUSG00000039286,Fndc3b
SLITRK3,ENSHGLG00000014879,,,,
ENSHGLG00000014882,ENSHGLG00000014882,,,,
NME9,ENSHGLG00000014916,ENSG00000181322,NME9,ENSMUSG00000046242,Nme9
SEMA3F,ENSHGLG00000014917,ENSG00000001617,SEMA3F,ENSMUSG00000034684,Sema3f
BCHE,ENSHGLG00000014939,,,ENSMUSG00000027792,Bche
RPL14,ENSHGLG00000014943,,,,
GHSR,ENSHGLG00000014950,ENSG00000121853,GHSR,ENSMUSG00000051136,Ghsr
ENSHGLG00000014985,ENSHGLG00000014985,,,,
CAMK2N2,ENSHGLG00000015107,,,,
ENSHGLG00000015512,ENSHGLG00000015512,ENSG00000244607,CCDC13,ENSMUSG00000079235,Ccdc13
EIF4A2,ENSHGLG00000015574,,,,
